1525
1	75	73	77	79	0.10614
2	73	71	77	79	0.009632100000000001
3	71	69	77	79	0.0026638699999999996
4	69	67	77	79	0.001290025
5	73	71	75	77	0.107094
6	71	69	75	77	0.00948626
7	69	67	75	77	0.002817845
8	67	65	75	77	0.001283105
9	80	78	75	77	0.000445436
10	71	67	75	79	0.0166899
11	67	80	75	79	0.003411115
12	71	69	73	75	0.0761463
13	69	67	73	75	0.008015765
14	67	65	73	75	0.00266193
15	65	80	73	75	0.00125753
16	69	65	73	77	0.014884650000000001
17	65	78	73	77	0.003215305
18	78	74	73	77	0.00120122
19	74	70	73	77	0.00043325950000000003
20	93	89	73	77	0.000223381
21	67	78	73	79	0.008420674999999999
22	78	72	73	79	0.00169564
23	72	66	73	79	0.0009685365
24	66	91	73	79	0.000447545
25	91	85	73	79	0.0001452205
26	85	96	73	79	0.000299081
27	96	90	73	79	0.000127691
28	69	67	71	73	0.07941255
29	67	65	71	73	0.008768535000000001
30	65	80	71	73	0.003146765
31	80	78	71	73	0.0013693400000000001
32	67	80	71	75	0.015354699999999999
33	80	76	71	75	0.0031170499999999997
34	76	72	71	75	0.0014979799999999999
35	91	87	71	75	0.000260571
36	65	76	71	77	0.009425315
37	70	95	71	77	0.000738293
38	95	89	71	77	0.000377513
39	80	72	71	79	0.00638671
40	72	95	71	79	0.001535895
41	87	96	71	79	0.00043327100000000005
42	67	65	69	71	0.0606862
43	65	80	69	71	0.008976475
44	80	78	69	71	0.0028202
45	65	78	69	73	0.015995250000000003
46	78	74	69	73	0.003390255
47	74	70	69	73	0.00142412
48	70	66	69	73	0.0005924535000000001
49	89	85	69	73	0.000274475
50	80	74	69	75	0.008609805
51	74	68	69	75	0.00220085
52	68	93	69	75	0.00068004
53	78	70	69	77	0.00621026
54	70	93	69	77	0.0014408300000000001
55	93	85	69	77	0.0006895465
56	76	66	69	79	0.004573674999999999
57	66	87	69	79	0.001178355
58	94	84	69	79	0.0006747494999999999
59	118	128	69	79	0.0001941725
60	65	80	67	69	0.0822224
61	80	78	67	69	0.008406815
62	78	76	67	69	0.00310733
63	76	74	67	69	0.00121115
64	72	70	67	69	0.0007996715
65	80	76	67	71	0.01599425
66	76	72	67	71	0.0035828350000000004
67	72	68	67	71	0.0014031500000000001
68	78	72	67	73	0.009374345
69	72	66	67	73	0.0021374899999999997
70	76	68	67	75	0.0058695250000000004
71	229	114	67	75	0.000352844
72	74	95	67	77	0.004527635
73	85	92	67	77	0.0003868105
74	92	82	67	77	0.0010465925
75	120	113	67	77	0.000338115
76	72	91	67	79	0.00358362
77	91	96	67	79	0.00121678
78	84	231	67	79	6.828085000000001e-05
79	80	78	65	67	0.07026355000000001
80	78	76	65	67	0.008192405
81	76	74	65	67	0.002460375
82	74	72	65	67	0.001452305
83	78	74	65	69	0.01550445
84	74	70	65	69	0.0031642099999999998
85	70	66	65	69	0.0010753
86	66	93	65	69	0.000760724
87	85	81	65	69	7.63424e-05
88	76	70	65	71	0.008011560000000001
89	70	95	65	71	0.002019755
90	95	89	65	71	0.0007324804999999999
91	74	66	65	73	0.006135440000000001
92	66	89	65	73	0.00130865
93	89	81	65	73	0.00044909150000000005
94	81	90	65	73	0.000318481
95	82	232	65	73	7.7068e-05
96	72	93	65	75	0.004440605
97	93	83	65	75	0.0008770925000000001
98	83	90	65	75	0.000686719
99	90	227	65	75	0.00034106800000000004
100	122	115	65	75	0.00017407099999999998
101	70	89	65	77	0.00383355
102	68	85	65	79	0.0032781800000000003
103	122	119	65	79	0.0001729255
